State,Abbreviation,EC,Population,Biggest Export,Average Age,Flag,Date of Union,Median Salary,Capital,Last 5 Elections
Alabama,AL,9,4903185,Transportation Equipment,39.2,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Alabama.svg/2560px-Flag_of_Alabama.svg.png,"December 14, 1819",33740,Montgomery,"R, R, R, R, R"
Alaska,AK,3,731545,Fish & Other Marine Products,34.6,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Alaska.svg/283px-Flag_of_Alaska.svg.png,"January 3, 1959",48020,Juneau,"R, R, R, R, R"
Arizona,AZ,11,7278717,Computer & Electronic Products,37.9,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arizona.svg/300px-Flag_of_Arizona.svg.png,"February 14, 1912",37020,Phoenix,"R, R, R, R, R"
Arkansas,AR,6,3017804,Transportation Equipment,38.3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arkansas.svg/300px-Flag_of_Arkansas.svg.png,"June 15, 1836",31850,Little Rock,"R, R, R, R, R"
California,CA,55,39512223,Computer & Electronic Products,36.8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_California.svg/300px-Flag_of_California.svg.png,"September 9, 1850",42430,Sacramento,"D, D, D, D, D"
Colorado,CO,9,5758736,Computer & Electronic Products,36.9,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colorado_designed_by_Andrew_Carlisle_Carson.svg/301px-Flag_of_Colorado_designed_by_Andrew_Carlisle_Carson.svg.png,"August 1, 1876",42310,Denver,"R, R, D, D, D"
Connecticut,CT,7,3565287,Transportation Equipment,41,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Flag_of_Connecticut.svg/259px-Flag_of_Connecticut.svg.png,"January 9, 1788",46920,Hartford,"D, D, D, D, D"
Delaware,DE,3,973764,Chemicals,40.7,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Flag_of_Delaware.svg/300px-Flag_of_Delaware.svg.png,"December 7, 1787",39900,Dover,"D, D, D, D, D"
District of Columbia,DC,3,705749,Transportation Equipment,34,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_the_District_of_Columbia.svg/1600px-Flag_of_the_District_of_Columbia.svg.png,"July 16, 1790",71690,N/A,"D, D, D, D, D"
Florida,FL,29,21477737,Computer & Electronic Products,42.2,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Florida.svg/300px-Flag_of_Florida.svg.png,"March 3, 1845",34560,Tallahassee,"R, R, D, D, R"
Georgia,GA,16,10617423,Transportation Equipment,36.9,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Georgia_%28U.S._state%29.svg/320px-Flag_of_Georgia_%28U.S._state%29.svg.png,"January 2, 1788",35950,Atlanta,"R, R, R, R, R"
Hawaii,HI,4,1415872,Petroleum & Coal Products,39.2,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Hawaii.svg/360px-Flag_of_Hawaii.svg.png,"August 21, 1959",42480,Honolulu,"D, D, D, D, D"
Idaho,ID,4,1787065,Computer & Electronic Products,36.6,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_Idaho.svg/254px-Flag_of_Idaho.svg.png,"July 3, 1890",34260,Boise,"R, R, R, R, R"
Illinois,IL,20,12671821,Minerals & Ores,38.3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Illinois.svg/334px-Flag_of_Illinois.svg.png,"December 3, 1818",39950,Springfield,"D, D, D, D, D"
Indiana,IN,11,6732219,Transportation Equipment,37.9,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Flag_of_Indiana.svg/300px-Flag_of_Indiana.svg.png,"December 11, 1816",35730,Indianapolis,"R, R, D, R, R"
Iowa,IA,6,3155070,Minerals & Ores,38.2,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Iowa.svg/300px-Flag_of_Iowa.svg.png,"December 28, 1846",37100,Des Moines,"D, R, D, D, R"
Kansas,KS,6,2913314,Transportation Equipment,36.9,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Kansas.svg/334px-Flag_of_Kansas.svg.png,"January 29, 1861",35950,Topeka,"R, R, R, R, R"
Kentucky,KY,8,4467673,Transportation Equipment,38.9,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_Kentucky.svg/360px-Flag_of_Kentucky.svg.png,"June 1, 1792",34650,Frankfort,"R, R, R, R, R"
Louisiana,LA,8,4648794,Petroleum & Coal Products,37.2,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_Louisiana.svg/315px-Flag_of_Louisiana.svg.png,"April 30, 1812",33390,Baton Rouge,"R, R, R, R, R"
Maine,ME,4,1344212,fish & and other marine products,44.9,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_Maine.svg/254px-Flag_of_Maine.svg.png,"March 15, 1820",37120,Augusta,"D, D, D, D, D"
Maryland,MD,10,6045680,Transportation Equipment,38.8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Maryland.svg/300px-Flag_of_Maryland.svg.png,"April 28, 1788",44690,Annapolis,"D, D, D, D, D"
Massachusetts,MA,11,6949503,Computer & Electronic Products,39.4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Massachusetts.svg/334px-Flag_of_Massachusetts.svg.png,"February 6, 1788",48680,Boston,"D, D, D, D, D"
Michigan,MI,16,9986857,Transportation Equipment,39.8,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Flag_of_Michigan.svg/300px-Flag_of_Michigan.svg.png,"January 26, 1837",37620,Lansing,"D, D, D, D, R"
Minnesota,MN,10,5639632,Computer & Electronic Products,38.1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Minnesota.svg/315px-Flag_of_Minnesota.svg.png,"May 11, 1858",42630,Saint Paul,"D, D, D, D, D"
Mississippi,MS,6,2976149,Petroleum & Coal Products,37.7,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/No_flag.svg/300px-No_flag.svg.png,"December 10, 1817",30580,Jackson,"R, R, R, R, R"
Missouri,MO,10,6137428,Transportation Equipment,38.7,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Missouri.svg/343px-Flag_of_Missouri.svg.png,"August 10, 1821",36040,Jefferson City,"R, R, R, R, R"
Montana,MT,3,1068778,Chemicals,39.9,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_Montana.svg/300px-Flag_of_Montana.svg.png,"November 8, 1889",35080,Helena,"R, R, R, R, R"
Nebraska,NE,5,1934408,Food Manufactures,36.6,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_Nebraska.svg/334px-Flag_of_Nebraska.svg.png,"March 1, 1867",37130,Lincoln,"R, R, R, R, R"
Nevada,NV,6,3080156,Primary Metal Manufacturing,38.1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_Nevada.svg/300px-Flag_of_Nevada.svg.png,"October 31, 1864",35550,Carson City,"R, R, D, D, D"
New Hampshire,NH,4,1359711,Computer & Electronic Products,43,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_New_Hampshire.svg/300px-Flag_of_New_Hampshire.svg.png,"June 21, 1788",39870,Concord,"R, D, D, D, D"
New Jersey,NJ,14,8882190,Chemicals,40,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_New_Jersey.svg/333px-Flag_of_New_Jersey.svg.png,"December 18, 1787",43600,Trenton,"D, D, D, D, D"
New Mexico,NM,5,2096829,Computer & Electronic Products,38.1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_New_Mexico.svg/300px-Flag_of_New_Mexico.svg.png,"January 6, 1912",34120,Santa Fe,"D, R, D, D, D"
New York,NY,29,19453561,Miscellaneous Manufactured Commodities,39,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_New_York_%281901-2020%29.svg/360px-Flag_of_New_York_%281901-2020%29.svg.png,"July 26, 1788",44990,Albany,"D, D, D, D, D"
North Carolina,NC,15,10488084,Chemicals,38.9,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flag_of_North_Carolina.svg/300px-Flag_of_North_Carolina.svg.png,"November 21, 1789",35750,Raleigh,"D, D, R, D, D"
North Dakota,ND,3,762062,Petroleum & Coal Products,35.2,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Flag_of_North_Dakota.svg/256px-Flag_of_North_Dakota.svg.png,"November 2, 1889",41340,Bismarck,"R, R, R, R, R"
Ohio,OH,18,11689100,Transportation Equipment,39.4,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Ohio.svg/325px-Flag_of_Ohio.svg.png,"March 1, 1803",37360,Columbus,"R, R, D, D, R"
Oklahoma,OK,7,3956971,Minerals & Ores,36.7,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Oklahoma.svg/300px-Flag_of_Oklahoma.svg.png,"November 16, 1907",34560,Oklahoma City,"R, R, R, R, R"
Oregon,OR,7,4217737,Minerals & Ores,39.4,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Oregon.svg/334px-Flag_of_Oregon.svg.png,"February 14, 1859",39580,Salem,"D, D, D, D, D"
Pennsylvania,PA,20,12801989,Chemicals,40.8,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Pennsylvania.svg/300px-Flag_of_Pennsylvania.svg.png,"December 12, 1787",38450,Harrisburg,"D, D, D, D, R"
Rhode Island,RI,4,1059361,Waste and Scrap,40.1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Rhode_Island.svg/228px-Flag_of_Rhode_Island.svg.png,"May 29, 1790",42040,Providence,"D, D, D, D, D"
South Carolina,SC,9,5148714,Transportation Equipment,39.6,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_South_Carolina.svg/300px-Flag_of_South_Carolina.svg.png,"May 23, 1788",33750,Columbia,"R, R, R, R, R"
South Dakota,SD,3,884659,Food Manufactures,37.1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_South_Dakota.svg/320px-Flag_of_South_Dakota.svg.png,"November 2, 1889",33450,Pierre,"R, R, R, R, R"
Tennessee,TN,11,6833174,Transportation Equipment,38.8,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Tennessee.svg/334px-Flag_of_Tennessee.svg.png,"June 1, 1796",34890,Nashville,"R, R, R, R, R"
Texas,TX,38,28995881,Oil & Gas,34.8,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Texas.svg/300px-Flag_of_Texas.svg.png,"December 29, 1845",37100,Austin,"R, R, R, R, R"
Utah,UT,6,3205958,Primary Metal Manufacturing,31,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Flag_of_the_State_of_Utah.svg/334px-Flag_of_the_State_of_Utah.svg.png,"January 4, 1896",36790,Salt Lake City,"R, R, R, R, R"
Vermont,VT,3,623989,Computer & Electronic Products,42.8,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Vermont.svg/334px-Flag_of_Vermont.svg.png,"March 4, 1791",39720,Montpelier,"D, D, D, D, D"
Virginia,VA,13,8535519,Chemicals,38.4,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Virginia.svg/292px-Flag_of_Virginia.svg.png,"June 25, 1788",40820,Richmond,"R, R, D, D, D"
Washington,WA,12,7614893,Transportation Equipment,37.7,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Washington.svg/337px-Flag_of_Washington.svg.png,"November 11, 1889",46100,Olympia,"D, D, D, D, D"
West Virginia,WV,5,1792147,Minerals & Ores,42.7,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_West_Virginia.svg/360px-Flag_of_West_Virginia.svg.png,"June 20, 1863",32640,Charleston,"R, R, R, R, R"
Wisconsin,WI,10,5822434,Minerals & Ores,39.6,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_Wisconsin.svg/300px-Flag_of_Wisconsin.svg.png,"May 29, 1848",37970,Madison,"D, D, D, D, R"
Wyoming,WY,3,578759,Chemicals,38,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Wyoming.svg/286px-Flag_of_Wyoming.svg.png,"July 10, 1890",40240,Cheyenne,"R, R, R, R, R"
